Country;General;Police;"Medical / 
Ambulance";Fire;Notes
Afghanistan;-;119;102;119;Rewards for Justice - 010-8600-070
Albania;-;129;127;128;Trafic police - 126
Algeria;-;17;14;14;"National Gendarmerie - 1055; 
Counter Terrorist Unit - 1548; 
Support for children - 3033"
Argentina;-;101;107;100;Emergency dispatcher for Buenos Aires (city), Santa Fe (city), Rosario (city), Salta and Buenos Aires (provinces) 911
Armenia;"911
112 from mobile phone ";102;103;101;"Gas leaks – 104; 
Traffic police – 177"
Australia;"112 or 000 
from a mobile phone";;;;"Other emergency numbers, such as 911, are redirected
State Emergency Service (ACT, VIC, NSW, QLD, SA, WA) – 132 500;
From a Textphone/TTY call the National Relay Service on 106;
Non Emergency – Police Assistance Line – 131 444;
(NSW, QLD, SA, WA, NT, TAS, ACT); 
Crime Stoppers – 1800 333 000; 
Threats to national security – 1800 123 400;"
Austria;112;133;144;122;"Gas leaks – 128; 
Alpine rescue – 140; 
On-duty medical unit – 141; 
Crisis-hotline – 142; 
Support for children and teens – 147"
Azerbaijan;-;102;103;101;Traffic police – 126
Bahrain;999;;;;
Bangladesh;999;;;;For the cities of Dhaka and Chittagong only
Barbados;-;211;511;311;
Belarus;-;102;103;101;"Gas leaks – 104; 
also 112 is redirected to 101 on velcom GSM-operator mobile phones"
Belgium;112;101;100;100;"Missing children – 116000; 
Mental problems/suicide – 106; 
Red Cross – 105"
Bolivia;-;110;118;119;911 forwards to 110
Bosnia and Herzegovina;-;122;124;123;From mobile phones, dial the international emergency numbers 112, 911 and 08 for information about the local emergency numbers that are to be dialed (122, 123 and 124)
Botswana;-;999;997;998;
Brazil;-;190;192;193;"Federal highway police - 191; 
Federal police - 194; 
Civil police - 197; 
State highway police - 198; 
Civil defense - 199; 
Human rights - 100; 
Emergency number for Mercosul area - 128; 
112 will be redirected to 190 when dialed from mobile phones;
911 will also be redirected to the police number (190)"
Bulgaria;112;166;150;160;
Cambodia;117;;;;
Cameroon;-;17;119;18;
Canada;911;;;;"Non-emergency 311 in certain areas;
Some rural areas still lack 911 service;
112 is redirected to 911 on GSM mobile phones;
*677 connects to the Ontario Provincial Police within the province of Ontario;
*4141 links to the Sûreté du Québec in the province of Quebec"
Cayman Islands;911;;;;
Colombia;"112 or 123 
landlines and mobile phones";156;132;119;"Traffic accidents - 127;
GAULA (anti-kidnapping) - 165"
Costa Rica;911 or 112;;;;
Croatia;112;92;94;93;"Search and rescue at sea – 9155; 
Road help – 987"
Cyprus;112;199;199;199;
Czech Republic;112;158;155;150;Municipal police – 156
Denmark;112;;;;Nearest Police (non-urgent) – 114
Djibouti;-;17;;18;
Dominican Republic;911 or 112;;;;"From a mobile phone – 112 or 911;
Also, 112 is redirected to 911 for GSM mobile phones"
East Timor;112;;;;
Ecuador;"911 
landlines and mobile phones";101;911;102;"All types of emergencies in Guayaquil (112 landlines, *112 mobile phones);
Traffic accidents in Guayaquil - 103;
Red cross - 131"
Egypt;-;122;123;180;"Tourist Police – 126; 
Traffic Police – 128; 
Electricity Emergency – 121; 
Natural Gas Supply Emergency – 129"
El Salvador;911;;;;
Estonia;112;110;;;
Faroe Islands;112;;;;
Fiji;-;911;911;9170;
Finland;112;;;;
France;112;17;15;18;"115 for homeless
114 for deaf or mute people (FAX or SMS only, connects to 18 or 17 or 15)"
French Guiana;-;17;15;18;
Georgia;112;122;113;111;
Germany;112;110;;;
Ghana;-;191;193;192;999 for any of the 3 services
Gibraltar;112 or 199;;190;190;
